sourceId,destinationId,relationship_type,source_system_name
4788002,773760007,DT,SNOMED CT
4821001,773760007,DT,SNOMED CT
4846001,40733004,DT,SNOMED CT
4855003,73211009,DT,SNOMED CT
4859009,418363000,DT,SNOMED CT
4887000,124287008,DT,SNOMED CT
4975008,773760007,DT,SNOMED CT
4989003,242784006,DT,SNOMED CT
4997005,248062006,DT,SNOMED CT
4997005,418420002,DT,SNOMED CT
4997005,699068005,DT,SNOMED CT
5053004,22953008,DT,SNOMED CT
5053004,64572001,DT,SNOMED CT
5053004,71388002,DT,SNOMED CT
5074003,39249009,DT,SNOMED CT
5083008,773760007,DT,SNOMED CT
5085001,40733004,DT,SNOMED CT
5120006,417746004,DT,SNOMED CT
5120006,773760007,DT,SNOMED CT
5148006,38341003,DT,SNOMED CT
5202009,773760007,DT,SNOMED CT
5251007,38354005,DT,SNOMED CT
5251007,417746004,DT,SNOMED CT
5251007,773760007,DT,SNOMED CT
5256002,773760007,DT,SNOMED CT
5353008,773760007,DT,SNOMED CT
5414003,773760007,DT,SNOMED CT
5450005,773760007,DT,SNOMED CT
5567000,40733004,DT,SNOMED CT
5577003,71388002,DT,SNOMED CT
5577003,714812005,DT,SNOMED CT
5577003,773760007,DT,SNOMED CT
5662003,773760007,DT,SNOMED CT
5708009,773760007,DT,SNOMED CT
5715001,773760007,DT,SNOMED CT
5724005,781249001,DT,SNOMED CT
5792004,71388002,DT,SNOMED CT
5801006,773760007,DT,SNOMED CT
5820008,52674009,DT,SNOMED CT
5834008,71388002,DT,SNOMED CT
5945005,71388002,DT,SNOMED CT
5949004,773760007,DT,SNOMED CT
5965003,773760007,DT,SNOMED CT
6015002,773760007,DT,SNOMED CT
6022005,31541009,DT,SNOMED CT
6051009,234947003,DT,SNOMED CT
6055000,773760007,DT,SNOMED CT
6111009,418363000,DT,SNOMED CT
6132001,773760007,DT,SNOMED CT
6134000,64572001,DT,SNOMED CT
6134000,71388002,DT,SNOMED CT
6154004,773760007,DT,SNOMED CT
6234006,773760007,DT,SNOMED CT
6280008,773760007,DT,SNOMED CT
6341002,773760007,DT,SNOMED CT
6378004,773760007,DT,SNOMED CT
6476001,242784006,DT,SNOMED CT
6500006,773760007,DT,SNOMED CT
6509007,34801009,DT,SNOMED CT
6628008,773760007,DT,SNOMED CT
6640008,773760007,DT,SNOMED CT
6647006,71388002,DT,SNOMED CT
6659005,190633005,DT,SNOMED CT
6659005,396331005,DT,SNOMED CT
6666006,9015001,DT,SNOMED CT
6666006,417746004,DT,SNOMED CT
6733004,773760007,DT,SNOMED CT
6802007,71388002,DT,SNOMED CT
6802007,773760007,DT,SNOMED CT
6821004,773760007,DT,SNOMED CT
6825008,773760007,DT,SNOMED CT
6835002,49000007,DT,SNOMED CT
6888008,400195000,DT,SNOMED CT
6954003,773760007,DT,SNOMED CT
6962006,38341003,DT,SNOMED CT
7081006,71388002,DT,SNOMED CT
7081006,116859006,DT,SNOMED CT
7085002,31541009,DT,SNOMED CT
7114006,421961002,DT,SNOMED CT
7119001,200936003,DT,SNOMED CT
7166002,71388002,DT,SNOMED CT
7166002,714812005,DT,SNOMED CT
7166002,773760007,DT,SNOMED CT
7199000,400006008,DT,SNOMED CT
7266006,15663008,DT,SNOMED CT
7343008,785340007,DT,SNOMED CT
7346000,773760007,DT,SNOMED CT
7371002,771268008,DT,SNOMED CT
7407001,773760007,DT,SNOMED CT
7456000,773569005,DT,SNOMED CT
7504005,773760007,DT,SNOMED CT
7505006,773760007,DT,SNOMED CT
7548000,302809008,DT,SNOMED CT
7559009,773760007,DT,SNOMED CT
7581004,773760007,DT,SNOMED CT
7602002,9015001,DT,SNOMED CT
7669008,773760007,DT,SNOMED CT
7711006,417746004,DT,SNOMED CT
7725007,122866006,DT,SNOMED CT
7739007,773760007,DT,SNOMED CT
7765006,773760007,DT,SNOMED CT
7809009,789750003,DT,SNOMED CT
7815009,85502002,DT,SNOMED CT
7819003,12912004,DT,SNOMED CT
7819003,417746004,DT,SNOMED CT
7819003,773760007,DT,SNOMED CT
7910003,789750003,DT,SNOMED CT
7913001,773760007,DT,SNOMED CT
7926002,122866006,DT,SNOMED CT
7998009,771313007,DT,SNOMED CT
8047003,773760007,DT,SNOMED CT
8071005,789750003,DT,SNOMED CT
8135006,773760007,DT,SNOMED CT
8183009,207938004,DT,SNOMED CT
8183009,773760007,DT,SNOMED CT
8209004,399187006,DT,SNOMED CT
8209004,871646007,DT,SNOMED CT
8247009,785340007,DT,SNOMED CT
8297008,771268008,DT,SNOMED CT
8303001,773760007,DT,SNOMED CT
8326008,418925002,DT,SNOMED CT
8326008,419076005,DT,SNOMED CT
8457007,773760007,DT,SNOMED CT
8459005,269062008,DT,SNOMED CT
8459005,773760007,DT,SNOMED CT
8468007,71388002,DT,SNOMED CT
8513005,773760007,DT,SNOMED CT
8554002,40733004,DT,SNOMED CT
8554002,371583007,DT,SNOMED CT
8577002,773760007,DT,SNOMED CT
8635005,191480000,DT,SNOMED CT
8639004,418925002,DT,SNOMED CT
8656007,262755005,DT,SNOMED CT
8656007,417746004,DT,SNOMED CT
8656007,773760007,DT,SNOMED CT
8663007,64572001,DT,SNOMED CT
8670007,71388002,DT,SNOMED CT
8748000,773760007,DT,SNOMED CT
8758001,773760007,DT,SNOMED CT
8764008,31515003,DT,SNOMED CT
8824003,773760007,DT,SNOMED CT
8840000,269062008,DT,SNOMED CT
8840000,773760007,DT,SNOMED CT
8939001,773760007,DT,SNOMED CT
8975004,771268008,DT,SNOMED CT
8996006,71388002,DT,SNOMED CT
9012003,40733004,DT,SNOMED CT
9014002,418925002,DT,SNOMED CT
9014002,421961002,DT,SNOMED CT
9015001,773760007,DT,SNOMED CT
9048001,773760007,DT,SNOMED CT
9063003,773760007,DT,SNOMED CT
9090007,773760007,DT,SNOMED CT
9264002,773760007,DT,SNOMED CT
9269007,773760007,DT,SNOMED CT
9311003,37200009,DT,SNOMED CT
9344009,773760007,DT,SNOMED CT
9350004,24526004,DT,SNOMED CT
9359003,85502002,DT,SNOMED CT
9364004,40733004,DT,SNOMED CT
9375000,773760007,DT,SNOMED CT
9377008,771268008,DT,SNOMED CT
9391002,773760007,DT,SNOMED CT
9418005,418925002,DT,SNOMED CT
9426002,43064006,DT,SNOMED CT
9516007,34801009,DT,SNOMED CT
9529007,418925002,DT,SNOMED CT
9560007,773760007,DT,SNOMED CT
9585003,417746004,DT,SNOMED CT
9585003,773760007,DT,SNOMED CT
9590000,773760007,DT,SNOMED CT
9665009,773760007,DT,SNOMED CT
9768003,418363000,DT,SNOMED CT
9787009,773760007,DT,SNOMED CT
9802006,773760007,DT,SNOMED CT
9822005,396347007,DT,SNOMED CT
9859006,44054006,DT,SNOMED CT
9936001,14783006,DT,SNOMED CT
9936001,128241005,DT,SNOMED CT
9936001,276552008,DT,SNOMED CT
9966008,773760007,DT,SNOMED CT
9978007,417746004,DT,SNOMED CT
9984005,56019007,DT,SNOMED CT
10001005,40733004,DT,SNOMED CT
10041001,387713003,DT,SNOMED CT
10050004,773760007,DT,SNOMED CT
10058006,789750003,DT,SNOMED CT
10065003,773760007,DT,SNOMED CT
10121008,773760007,DT,SNOMED CT
10132008,773760007,DT,SNOMED CT
10137002,773760007,DT,SNOMED CT
10217006,773760007,DT,SNOMED CT
10256000,417746004,DT,SNOMED CT
10256000,773760007,DT,SNOMED CT
10278007,248062006,DT,SNOMED CT
10278007,418420002,DT,SNOMED CT
10295004,40733004,DT,SNOMED CT
10310006,269070003,DT,SNOMED CT
10310006,773760007,DT,SNOMED CT
10349009,62914000,DT,SNOMED CT
10366006,773760007,DT,SNOMED CT
10380004,773760007,DT,SNOMED CT
10416004,773760007,DT,SNOMED CT
10461000,771268008,DT,SNOMED CT
10568008,773760007,DT,SNOMED CT
10575009,82419009,DT,SNOMED CT
10575009,773760007,DT,SNOMED CT
10596002,64572001,DT,SNOMED CT
10613001,785340007,DT,SNOMED CT
10662001,771268008,DT,SNOMED CT
10697004,789750003,DT,SNOMED CT
10713006,52661003,DT,SNOMED CT
10713006,418925002,DT,SNOMED CT
10771002,773760007,DT,SNOMED CT
10785007,418925002,DT,SNOMED CT
10785007,419076005,DT,SNOMED CT
10815006,773760007,DT,SNOMED CT
10852006,781249001,DT,SNOMED CT
10853001,50697003,DT,SNOMED CT
10853001,71388002,DT,SNOMED CT
10859002,773760007,DT,SNOMED CT
10877007,14783006,DT,SNOMED CT
10877007,276552008,DT,SNOMED CT
10901008,400195000,DT,SNOMED CT
10901008,890168003,DT,SNOMED CT
10920005,773760007,DT,SNOMED CT
10948005,8847002,DT,SNOMED CT
10959001,773760007,DT,SNOMED CT
10995009,773760007,DT,SNOMED CT
10998006,773760007,DT,SNOMED CT
11008006,773760007,DT,SNOMED CT
11013005,55464009,DT,SNOMED CT
